[4065] LINDSAY J. M., SCHMITT A. K., TRUMBULL R. B., DE SILVA S. L., SIEBEL W., EMMERMANN R. ; MAGMATIC EVOLUTION OF THE LA PACANA CALDERA SYSTEM, CENTRAL ANDES, CHILE: COMPOSITIONAL VARIATION OF TWO COGENETIC LARGE-VOLUME FELSIC IGNIMBRITES ; J. PETROL. 42 [2001] 459-486
[4184] SCHAEFER S. J., STURCHIO N. C., MURRELL M. T., WILLIAMS S. N. ; INTERNAL 238U-SERIES SYSTEMATICS OF PUMICE FROM THE NOVEMBER 13, 1985, ERUPTION OF NEVADO DEL RUIZ, COLOMBIA ; GEOCHIM. COSMOCHIM. ACTA 57 [1993] 1215-1219
[4190] NOLL P. D. JR., NEWSOM H. E., LEEMAN W. P., RYAN J. G. ; THE ROLE OF HYDROTHERMAL FLUIDS IN THE PRODUCTION OF SUBDUCTION ZOME MAGMAS: EVIDENCE FROM SIDEROPHILE AND CHALCOPHILE TRACE ELEMENTS AND BORON ; GEOCHIM. COSMOCHIM. ACTA 60 [1996] 587-611
[4215] DOSTAL J., ZENTILLI M., CAELLES J. C., CLARK A. H. ; GEOCHEMISTRY AND ORIGIN OF VOLCANIC ROCKS OF THE ANDES (26° - 28° S) ; CONTRIB. MINERAL. PETROL. 63 [1977] 113-128
[4217] LOPEZ-ESCOBAR L., FREY F. A., OYARZUN J. ; GEOCHEMICAL CHARACTERISTICS OF CENTRAL CHILE (33° -34° S) GRANITOIDS ; CONTRIB. MINERAL. PETROL. 70 [1979] 439-450
[4218] PICHAVANT M., KONTAK D. J., BRIQUEU L., HERRERA J. V., CLARK A. H. ; THE MIOCENE-PLIOCENE MACUSANI VOLCANICS, SE PERU
II. GEOCHEMISTRY AND ORIGIN OF A FELSIC PERALUMINOUS MAGMA ; CONTRIB. MINERAL. PETROL. 100 [1988] 325-338
[4222] DAVIDSON J. P., DE SILVA S. L. ; LATE CENOZOIC MAGMATISM OF THE BOLIVIAN ALTIPLANO ; CONTRIB. MINERAL. PETROL. 119 [1995] 387-408
[4223] COIRA B., KAY S. M. ; IMPLICATIONS OF QUATERNARY VOLCANISM AT CERRO TUZGLE FOR CRUSTAL AND MANTLE EVOLUTION OF THE PUNA PLATEAU, CENTRAL ANDES, ARGENTINA ; CONTRIB. MINERAL. PETROL. 113 [1993] 40-58
[4232] DERUELLE B. ; PETROLOGY OF THE PLIO-QUATERNARY VOLCANISM OF THE SOUTH-CENTRAL AND MERIDIONAL ANDES ; J. VOLCANOL. GEOTHERM. RES. 14 [1982] 77-124
[4251] NARANJO J. A. ; CHEMISTRY AND PETROLOGICAL EVOLUTION OF THE LASTARRIA VOLCANIC COMPLEX IN THE NORTH CHILEAN ANDES ; GEOL. MAG. 129 [1992] 723-740
[4252] MILLER J. F., HARRIS N. B. W. ; EVOLUTION OF CONTINENTAL CRUST IN THE CENTRAL ANDES; CONSTRAINTS FROM ND ISOTOPE SYSTEMATICS ; GEOLOGY 17 [1989] 615-617
[4253] HAWKESWORTH C. J., HAMMILL M., GLEDHILL A. R., VAN CALSTEREN P., ROGERS G. ; ISOTOPE AND TRACE ELEMENT EVIDENCE FOR LATE-STAGE INTRA-CRUSTAL MELTING IN THE HIGH ANDES ; EARTH PLANET. SCI. LETT. 58 [1982] 240-254
[4254] BERG K., BAUMANN A. ; PLUTONIC AND METASEDIMENTARY ROCKS FROM THE COASTAL RANGE OF NORTHERN CHILE: RB-SR AND U-PB ISOTOPIC SYSTEMATICS ; EARTH PLANET. SCI. LETT. 75 [1985] 101-115
[4290] SCHMITT A. K., DE SILVA S. L., TRUMBULL R. B., EMMERMANN R. ; MAGMA EVOLUTION IN THE PURICO IGNIMBRITE COMPLEX, NORTHERN CHILE: EVIDENCE FOR ZONING OF A DACITE MAGMA BY INJECTION OF RHYOLITIC MELTS FOLLOWING MAFIC RECHARGE ; CONTRIB. MINERAL. PETROL. 140 [2001] 680-700
[4315] DUNGAN M. A., WULFF A., THOMPSON R. ; ERUPTIVE STRATIGRAPHY OF THE TATARA-SAN PEDRO COMPLEX, 36°S, SOUTHERN VOLCANIC ZONE, CHILEAN ANDES: RECONSTRUCTION METHOD AND IMPLICATIONS FOR MAGMA EVOLUTION AT LONG-LIVED ARC VOLCANIC CENTERS ; J. PETROL. 42 [2001] 555-626
[4346] FUTA K., STERN C. R. ; SR AND ND ISOTOPIC AND TRACE ELEMENT COMPOSITIONS OF QUATERNARY VOLCANIC CENTERS OF THE SOUTHERN ANDES ; EARTH PLANET. SCI. LETT. 88 [1988] 253-262
[4347] FEELEY T. C., DUNGAN M. A., FREY F. A. ; GEOCHEMICAL CONSTRAINTS ON THE ORIGIN OF MAFIC AND SILICIC MAGMAS AT CORDON EL GUADAL, TATARA-SAN PEDRO COMPLEX, CENTRAL CHILE ; CONTRIB. MINERAL. PETROL. 131 [1998] 393-411
[4350] LOPEZ-ESCOBAR L., PARADA M. A., HICKEY-VARGAS R., FREY F. A., KEMPTON P. D., MORENOROA H. ; CALBUCO VOLCANO AND MINOR ERUPTIVE CENTERS DISTRIBUTED ALONG THE LIQUINE-OFQUI FAULT ZONE, CHILE (41° - 42° S): CONTRASTING ORIGIN OF ANDESITIC AND BASALTIC MAGMA IN THE SOUTHERN VOLCANIC ZONE OF THE ANDES ; CONTRIB. MINERAL. PETROL. 119 [1995] 345-361
[4351] HICKEY-VARGAS R., ABDOLLAHI M. J., PARADA M. A., LOPEZ-ESCOBAR L., FREY F. A. ; CRUSTAL XENOLITHS FROM CALBUCO VOLCANO, ANDEAN SOUTHERN VOLCANIC ZONE: IMPLICATIONS FOR CRUSTAL COMPOSITION AND MAGMA-CRUST INTERACTION ; CONTRIB. MINERAL. PETROL. 119 [1995] 331-344
[4352] STERN C. R., FREY F. A., FUTA K., ZARTMAN R. E., PENG Z. X., KYSER T. K. ; TRACE-ELEMENT AND SR, ND, PB, AND O ISOTOPIC COMPOSITION OF PLIOCENE AND QUATERNARY ALKALI BASALTS OF THE PATAGONIAN PLATEAU LAVAS OF SOUTHERNMOST SOUTH AMERICA ; CONTRIB. MINERAL. PETROL. 104 [1990] 294-308
[4376] DE SILVA S. L., SELF S., FRANCIS P. W., DRAKE R. E., RAMIREZ R. C. ; EFFUSIVE SILICIC VOLCANISM IN THE CENTRAL ANDES: THE CHAO DACITE AND OTHER YOUNG LAVAS OF THE ALTIPLANO-PUNA VOLCANIC COMPLEX ; J. GEOPHYS. RES. B99 [1994] 17805-17825
[4380] LOPEZ-ESCOBAR L., VERGARA M. M., FREY F. A. ; PETROLOGY AND GEOCHEMISTRY OF LAVAS FROM ANTUCO VOLCANO, A BASALTIC VOLCANO OF THE SOUTHERN ANDES (37°25´) ; J. VOLCANOL. GEOTHERM. RES. 11 [1981] 329-352
[4381] NOTSU K., LOPEZ-ESCOBAR L., ONUMA N. ; ALONG-ARC VARIATION OF SR-ISOTOPE COMPOSITION IN VOLCANIC ROCKS FROM THE SOUTHERN ANDES (33°S-55°S) ; GEOCHEM. J. 21 [1987] 307-313
[4431] ARAMAKI S., ONUMA N., PORTILLO F. ; PETROGRAPHY AND MAJOR ELEMENT CHEMISTRY OF THE VOLCANIC ROCKS OF THE ANDES ; GEOCHEM. J. 18 [1984] 217-232
[4432] BRIQUEU L., LANCELOT J. R. ; NEW ANALYTICAL DATA AND INTERPRETATION OF THE SR ISOTOPIC COMPOSITION IN PLIO-QUATERNARY CALC-ALKALINE LAVAS OF PERU ; BULL. SOC. GEOL. FRANCE 19 [1977] 1223-1232
[4433] COBBING E. J., OZARD J. M., SNELLING N. J. ; RECONNAISSANCE GEOCHRONOLOGY OF THE CRYSTALLINE BASEMENT ROCKS OF THE COASTAL CORDILLERA OF SOUTHERN PERU ; BULL. GEOL. SOC. AM. 88 [1977] 241-246
[4435] ONUMA N., MONTOYA M. ; SR/CA-BA/CA SYSTEMATICS OF VOLCANIC ROCKS FROM THE CENTRAL ANDES, SOUTHERN PERU, AND ITS IMPLICATIONS FOR ANDEAN MAGMATISM ; GEOCHEM. J. 18 [1984] 251-262
[4437] VATIN-PERIGNON N., GOEMANS P., OLIVER R. A., PARRA PALACIO E. ; EVALUATION OF MAGMATIC PROCESSES FOR THE PRODUCTS OF THE NEVADO DEL RUIZ VOLCANO, COLOMBIA FROM GEOCHEMICAL AND PETROLOGICAL DATA ; J. VOLCANOL. GEOTHERM. RES. 41 [1990] 153-176
